Ent Station,Ext Station,"Riders, Average Weekday, May 2012"
Benning Road,Tenleytown-AU,22.9
Benning Road,Twinbrook,3.3
Benning Road,U Street-Cardozo,33.6
Benning Road,Union Station,18
Benning Road,Van Dorn Street,2.6
Benning Road,Van Ness-UDC,13.6
Benning Road,Vienna,3.5
Benning Road,Virginia Square-GMU,2.9
Benning Road,Waterfront,19.3
Benning Road,West Falls Church,9.2
Benning Road,West Hyattsville,1.4
Benning Road,Wheaton,2.1
Benning Road,White Flint,6.9
Benning Road,Woodley Park-Zoo,5.8
Bethesda,Addison Road,0.7
Bethesda,Anacostia,5.2
Bethesda,Archives-Navy Memorial,11.5
Bethesda,Arlington Cemetery,2.5
Bethesda,Ballston,18.2
Bethesda,Benning Road,0.2
Bethesda,Bethesda,8.5
Bethesda,Braddock Road,2.6
Bethesda,Branch Avenue,3
Bethesda,Brookland,15.2
Bethesda,Capitol Heights,0.3
Bethesda,Capitol South,49.3
Bethesda,Cheverly,0
Bethesda,Clarendon,4.8
Bethesda,Cleveland Park,8.1
Bethesda,College Park-U of MD,4
Bethesda,Columbia Heights,3.4
Bethesda,Congress Heights,1.5
Bethesda,Court House,11.2
Bethesda,Crystal City,32.2
Bethesda,Dunn Loring,0.5
Bethesda,Dupont Circle,238.4
Bethesda,East Falls Church,1.2
Bethesda,Eastern Market,7.2
Bethesda,Eisenhower Avenue,2.2
Bethesda,Farragut North,835.9
Bethesda,Farragut West,4.4
Bethesda,Federal Center SW,55.2
Bethesda,Federal Triangle,47.9
Bethesda,Foggy Bottom,45
Bethesda,Forest Glen,0.3
Bethesda,Fort Totten,0.5
Bethesda,Franconia-Springfield,2.1
Bethesda,Friendship Heights,75.4
Bethesda,Gallery Place-Chinatown,172.7
Bethesda,Georgia Avenue-Petworth,0.8
Bethesda,Glenmont,0.4
Bethesda,Greenbelt,0.9
Bethesda,Grosvenor,6.5
Bethesda,Huntington,1
Bethesda,Judiciary Square,131.8
Bethesda,King Street,18.4
Bethesda,Landover,1.1
Bethesda,Largo Town Center,0.1
Bethesda,L'Enfant Plaza,84
Bethesda,McPherson Square,31.8
Bethesda,Medical Center,108.3
Bethesda,Metro Center,426.7
Bethesda,Minnesota Avenue,1.3
Bethesda,Morgan Blvd.,0.5
Bethesda,Mt. Vernon Square-UDC,5.6
Bethesda,Navy Yard,33.2
Bethesda,Naylor Road,0.3
Bethesda,New Carrollton,2.2
Bethesda,New York Ave,31.6
Bethesda,Pentagon,15.2
Bethesda,Pentagon City,8.2
Bethesda,Potomac Avenue,0.5
Bethesda,Prince George's Plaza,1.5
Bethesda,Reagan Washington National Airport,31.3
Bethesda,Rhode Island Avenue,0.9
Bethesda,Rockville,38.4
Bethesda,Rosslyn,34
Bethesda,Shady Grove,34.1
Bethesda,Shaw-Howard University,2.8
Bethesda,Silver Spring,1.1
Bethesda,Smithsonian,77.7
Bethesda,Southern Avenue,1.4
Bethesda,Stadium-Armory,0.5
Bethesda,Suitland,7.4
Bethesda,Takoma,0.9
Bethesda,Tenleytown-AU,61.8
Bethesda,Twinbrook,22.4
Bethesda,U Street-Cardozo,2.6
Bethesda,Union Station,253
Bethesda,Van Dorn Street,0.5
Bethesda,Van Ness-UDC,27
Bethesda,Vienna,3.1
Bethesda,Virginia Square-GMU,2.9
Bethesda,Waterfront,6.1
Bethesda,West Falls Church,5.4
Bethesda,West Hyattsville,0
Bethesda,Wheaton,0.4
Bethesda,White Flint,56.2
Bethesda,Woodley Park-Zoo,23.4
Braddock Road,Addison Road,0.9
Braddock Road,Anacostia,5.1
Braddock Road,Archives-Navy Memorial,179
Braddock Road,Arlington Cemetery,3.6
Braddock Road,Ballston,27.7
Braddock Road,Benning Road,1.4
Braddock Road,Bethesda,11.3
Braddock Road,Braddock Road,3.8
Braddock Road,Branch Avenue,0.7
Braddock Road,Brookland,7
Braddock Road,Capitol Heights,0.1
Braddock Road,Capitol South,58.1
Braddock Road,Cheverly,2.5
Braddock Road,Clarendon,11.4
Braddock Road,Cleveland Park,0.4
Braddock Road,College Park-U of MD,4.1
Braddock Road,Columbia Heights,7.1
Braddock Road,Congress Heights,0.5
Braddock Road,Court House,18.4
Braddock Road,Crystal City,91.1
Braddock Road,Deanwood,0.8
Braddock Road,Dunn Loring,7.2
Braddock Road,Dupont Circle,32.6
Braddock Road,East Falls Church,1.2
Braddock Road,Eastern Market,12.3
Braddock Road,Eisenhower Avenue,11.7
Braddock Road,Farragut North,19.3
Braddock Road,Farragut West,293.5
Braddock Road,Federal Center SW,24
Braddock Road,Federal Triangle,54.1
Braddock Road,Foggy Bottom,178.3
Braddock Road,Forest Glen,0.5
Braddock Road,Fort Totten,2.2
Braddock Road,Franconia-Springfield,35.5
Braddock Road,Friendship Heights,5.9
Braddock Road,Gallery Place-Chinatown,151.3
Braddock Road,Georgia Avenue-Petworth,4.5
Braddock Road,Glenmont,0.1
Braddock Road,Greenbelt,1.5
Braddock Road,Grosvenor,0.5
Braddock Road,Huntington,23
Braddock Road,Judiciary Square,18
Braddock Road,King Street,50.6
Braddock Road,Landover,0.2
Braddock Road,Largo Town Center,1.5
Braddock Road,L'Enfant Plaza,200.4
Braddock Road,McPherson Square,188
Braddock Road,Medical Center,11.1
Braddock Road,Metro Center,85.5
Braddock Road,Minnesota Avenue,0.4
Braddock Road,Morgan Blvd.,1
Braddock Road,Mt. Vernon Square-UDC,16.5
Braddock Road,Navy Yard,50.5
Braddock Road,Naylor Road,0.4
Braddock Road,New Carrollton,3.8
Braddock Road,New York Ave,22.1
Braddock Road,Pentagon,133.6
Braddock Road,Pentagon City,22.2
Braddock Road,Potomac Avenue,2.5
Braddock Road,Prince George's Plaza,0.7
Braddock Road,Reagan Washington National Airport,32.8
Braddock Road,Rhode Island Avenue,0.8
Braddock Road,Rockville,1
Braddock Road,Rosslyn,104
Braddock Road,Shady Grove,1.8
Braddock Road,Shaw-Howard University,5.5
Braddock Road,Silver Spring,20.8
Braddock Road,Smithsonian,31.9
Braddock Road,Southern Avenue,2.3
Braddock Road,Stadium-Armory,3.5
Braddock Road,Suitland,7.5
Braddock Road,Takoma,1.5
Braddock Road,Tenleytown-AU,10.6
Braddock Road,Twinbrook,2.1
Braddock Road,U Street-Cardozo,6.7
Braddock Road,Union Station,110.8
Braddock Road,Van Dorn Street,16.2
Braddock Road,Van Ness-UDC,5.2
Braddock Road,Vienna,4.7
Braddock Road,Virginia Square-GMU,9.9
Braddock Road,Waterfront,3.3
Braddock Road,West Falls Church,11.8
Braddock Road,West Hyattsville,0.3
Braddock Road,Wheaton,0.3
Braddock Road,White Flint,4.1
Braddock Road,Woodley Park-Zoo,3.1
Branch Avenue,Addison Road,2.2
Branch Avenue,Anacostia,39.4
Branch Avenue,Archives-Navy Memorial,342.5
Branch Avenue,Arlington Cemetery,2.2
Branch Avenue,Ballston,44.3
Branch Avenue,Benning Road,2.4
Branch Avenue,Bethesda,53.8
Branch Avenue,Braddock Road,4.5
Branch Avenue,Branch Avenue,9.5
Branch Avenue,Brookland,29.5
Branch Avenue,Capitol Heights,2.1
Branch Avenue,Capitol South,52
Branch Avenue,Cheverly,2
Branch Avenue,Clarendon,13.4
Branch Avenue,Cleveland Park,2.8
Branch Avenue,College Park-U of MD,11.8
Branch Avenue,Columbia Heights,56.5
Branch Avenue,Congress Heights,6
Branch Avenue,Court House,18
Branch Avenue,Crystal City,82.8
Branch Avenue,Deanwood,0.7
Branch Avenue,Dunn Loring,9
Branch Avenue,Dupont Circle,65.5
Branch Avenue,East Falls Church,2
Branch Avenue,Eastern Market,6.4
Branch Avenue,Eisenhower Avenue,4.4
Branch Avenue,Farragut North,205.8
Branch Avenue,Farragut West,271.9
Branch Avenue,Federal Center SW,79
Branch Avenue,Federal Triangle,200.3
Branch Avenue,Foggy Bottom,164.2
Branch Avenue,Forest Glen,0.6
Branch Avenue,Fort Totten,9.4
Branch Avenue,Franconia-Springfield,6.8
Branch Avenue,Friendship Heights,34
Branch Avenue,Gallery Place-Chinatown,342.4
Branch Avenue,Georgia Avenue-Petworth,19.5
Branch Avenue,Glenmont,1.6
Branch Avenue,Greenbelt,10
Branch Avenue,Grosvenor,6.8
Branch Avenue,Huntington,5.3
Branch Avenue,Judiciary Square,96.6
Branch Avenue,King Street,17.8
Branch Avenue,Landover,2.5
Branch Avenue,Largo Town Center,12.5
Branch Avenue,L'Enfant Plaza,536.3
Branch Avenue,McPherson Square,254.9
Branch Avenue,Medical Center,79.4
Branch Avenue,Metro Center,156.8
Branch Avenue,Minnesota Avenue,4.3
Branch Avenue,Morgan Blvd.,2.7
Branch Avenue,Mt. Vernon Square-UDC,33.1
Branch Avenue,Navy Yard,135.7
Branch Avenue,Naylor Road,8.8
Branch Avenue,New Carrollton,13.9
Branch Avenue,New York Ave,99.7
Branch Avenue,Pentagon,238
Branch Avenue,Pentagon City,53.5
Branch Avenue,Potomac Avenue,1.9
Branch Avenue,Prince George's Plaza,17.6
Branch Avenue,Reagan Washington National Airport,17.4
Branch Avenue,Rhode Island Avenue,11.1
Branch Avenue,Rockville,11
Branch Avenue,Rosslyn,94.3
Branch Avenue,Shady Grove,15.5
Branch Avenue,Shaw-Howard University,23.8
Branch Avenue,Silver Spring,64.9
Branch Avenue,Smithsonian,157.2
Branch Avenue,Southern Avenue,11.2
Branch Avenue,Stadium-Armory,5.5
Branch Avenue,Suitland,25.7
Branch Avenue,Takoma,3.6
Branch Avenue,Tenleytown-AU,28.5
Branch Avenue,Twinbrook,11.1
Branch Avenue,U Street-Cardozo,28
Branch Avenue,Union Station,215
Branch Avenue,Van Dorn Street,1.5
Branch Avenue,Van Ness-UDC,11.5
Branch Avenue,Vienna,8.9
Branch Avenue,Virginia Square-GMU,11.3
Branch Avenue,Waterfront,21.8
Branch Avenue,West Falls Church,23.2
Branch Avenue,West Hyattsville,4
Branch Avenue,Wheaton,4
Branch Avenue,White Flint,18.4
Branch Avenue,Woodley Park-Zoo,11.2
Brookland,Addison Road,2.7
Brookland,Anacostia,15.3
Brookland,Archives-Navy Memorial,5.5
Brookland,Arlington Cemetery,0.9
Brookland,Ballston,20.6
Brookland,Benning Road,3.5
Brookland,Bethesda,25.6
Brookland,Braddock Road,3
Brookland,Branch Avenue,2.9
Brookland,Brookland,8.1
Brookland,Capitol Heights,0.6
Brookland,Capitol South,17.2
Brookland,Cheverly,0.4
Brookland,Clarendon,3.3
Brookland,Cleveland Park,6.8
Brookland,College Park-U of MD,7
Brookland,Columbia Heights,27.7
Brookland,Congress Heights,4.2
Brookland,Court House,8.4
Brookland,Crystal City,20.3
Brookland,Deanwood,3.1
Brookland,Dunn Loring,3.6
Brookland,Dupont Circle,102
Brookland,East Falls Church,1.9
